Dearest,dearest,ADJ,JJ,amod,Xxxxx,True,False
creature,creature,NOUN,NN,ROOT,xxxx,True,False
in,in,ADP,IN,prep,xx,True,False
Creation,creation,PROPN,NNP,pobj,Xxxxx,True,False
,,,,PUNCT,,,punct,,,False,False

,
,SPACE,,,
,False,False
Studying,study,VERB,VBG,acl,Xxxxx,True,False
English,english,ADJ,JJ,amod,Xxxxx,True,False
pronunciation,pronunciation,NOUN,NN,dobj,xxxx,True,False
,,,,PUNCT,,,punct,,,False,False

,
,SPACE,,,
,False,False
⁠I,⁠i,PROPN,NNP,nsubj,⁠X,False,False
will,will,VERB,MD,aux,xxxx,True,False
teach,teach,VERB,VB,conj,xxxx,True,False
you,-PRON-,PRON,PRP,dobj,xxx,True,False
in,in,ADP,IN,prep,xx,True,False
my,-PRON-,ADJ,PRP$,poss,xx,True,False
verse,verse,NOUN,NN,pobj,xxxx,True,False

,
,SPACE,,,
,False,False
⁠Sounds,⁠sounds,NOUN,NN,pobj,⁠Xxxxx,False,False
like,like,ADP,IN,prep,xxxx,True,False
corpse,corpse,NOUN,NN,pobj,xxxx,True,False
,,,,PUNCT,,,punct,,,False,False
corps,corp,NOUN,NNS,conj,xxxx,True,False
,,,,PUNCT,,,punct,,,False,False
horse,horse,NOUN,NN,conj,xxxx,True,False
and,and,CCONJ,CC,cc,xxx,True,False
worse,bad,ADJ,JJR,conj,xxxx,True,False
.,.,PUNCT,.,punct,.,False,False

,
,SPACE,,,
,False,False
It,-PRON-,PRON,PRP,nsubj,Xx,True,False
will,will,VERB,MD,aux,xxxx,True,False
keep,keep,VERB,VB,ROOT,xxxx,True,False
you,-PRON-,PRON,PRP,dobj,xxx,True,False
,,,,PUNCT,,,punct,,,False,False
Susy,susy,PROPN,NNP,npadvmod,Xxxx,True,False
,,,,PUNCT,,,punct,,,False,False
busy,busy,ADJ,JJ,amod,xxxx,True,False
,,,,PUNCT,,,punct,,,False,False

,
,SPACE,,,
,False,False
Make,make,VERB,VB,ccomp,Xxxx,True,False
your,-PRON-,ADJ,PRP$,poss,xxxx,True,False
head,head,NOUN,NN,dobj,xxxx,True,False
with,with,ADP,IN,prep,xxxx,True,False
heat,heat,NOUN,NN,pobj,xxxx,True,False
grow,grow,VERB,VB,ccomp,xxxx,True,False
dizzy,dizzy,ADJ,JJ,advmod,xxxx,True,False
;,;,PUNCT,:,punct,;,False,False

,
,SPACE,,,
,False,False
⁠Tear,⁠tear,NOUN,NN,prep,⁠Xxxx,False,False
in,in,ADP,IN,prep,xx,True,False
eye,eye,NOUN,NN,pobj,xxx,True,False
your,-PRON-,ADJ,PRP$,poss,xxxx,True,False
dress,dress,NOUN,NN,pobj,xxxx,True,False
you,-PRON-,PRON,PRP,nsubj,xxx,True,False
'll,will,VERB,MD,aux,'xx,False,False
tear,tear,VERB,VB,conj,xxxx,True,False
.,.,PUNCT,.,punct,.,False,False

,
,SPACE,,,
,False,False
⁠So,⁠so,NOUN,NN,nsubj,⁠Xx,False,False
shall,shall,VERB,MD,ROOT,xxxx,True,False
I,-PRON-,PRON,PRP,nsubj,X,True,False
!,!,PUNCT,.,punct,!,False,False
Oh,oh,INTJ,UH,intj,Xx,True,False
,,,,PUNCT,,,punct,,,False,False
hear,hear,VERB,VB,ROOT,xxxx,True,False
my,-PRON-,ADJ,PRP$,poss,xx,True,False
prayer,prayer,NOUN,NN,dobj,xxxx,True,False
,,,,PUNCT,,,punct,,,False,False

,
